Nachname,Vorname,Ersteinzug,Partei,Akadem. Grad
Tippelt,Nico,2021,FDP,
Todtenhausen,Manfred,2012,FDP,
Töns,Markus,,SPD,
Toncar,Florian,,FDP,Dr.
Träger,Carsten,2014,SPD,
Trittin,Jürgen,1990,Die Grünen,
Troff-Schaffarzyk,Anja,2022,SPD,
Trăsnea,Ana-Maria,,SPD,
Türk-Nachbaur,Derya,2022,SPD,
Uhl,Markus,2018,CDU/CSU,
Uhlig,Katrin,2022,Die Grünen,
Ullmann,Dr. Andrew,,FDP,Prof.
Ullrich,Frank,2022,SPD,
Ullrich,Gerald,,FDP,
Ullrich,Volker,,CDU/CSU,Dr.
Ulrich,Alexander,2005,Gruppe BSW,
Verlinden,Julia,,Die Grünen,Dr.
Vieregge,Kerstin,,CDU/CSU,
Völlers,Marja-Liisa,2018,SPD,
Vöpel,Dirk,2014,SPD,
Vogel,Johannes,2009,FDP,
Vogler,Kathrin,2009,Gruppe Die Linke,
Vogt,Oliver,,CDU/CSU,Dr.
Vontz,Emily,2023,SPD,
Vries,Christoph de,,CDU/CSU,
Wadephul,Johann David,,CDU/CSU,Dr.
Wagener,Niklas,2022,Die Grünen,
Wagener,Robin,2021,Die Grünen,
Wagenknecht,Sahra,,Gruppe BSW,Dr.
Wagner,Carolin,,SPD,Dr.
Wagner,Johannes,,Die Grünen,
Wagner,Tim,2024,FDP,
Wallstein,Maja,2022,SPD,
Walter,Hannes,2022,SPD,
Walter-Rosenheimer,Beate,,Die Grünen,
Wanderwitz,Marco,2002,CDU/CSU,
Warken,Nina,,CDU/CSU,
Weeser,Sandra,2018,FDP,
Wegge,Carmen,2022,SPD,
Wegling,Melanie,2022,SPD,
Weidel,Alice,,AfD,Dr.
Weingarten,Joe,,SPD,Dr.
Weisgerber,Anja,,CDU/CSU,Dr.
Weishaupt,Saskia,,Die Grünen,
Weiss,jur. Maria-Lena,,CDU/CSU,Dr.
Weiss (Wesel I),Sabine,,CDU/CSU,
Wellenreuther,Ingo,2002,CDU/CSU,
Wenzel,Stefan,2013,Die Grünen,
Werner,Lena,2021,SPD,
Westig,Nicole,,FDP,
Westphal,Bernd,2014,SPD,
Weyel,Dr. Harald,,AfD,Prof.
Whittaker,Kai,2014,CDU/CSU,
Widmann-Mauz,Annette,,CDU/CSU,
Wiehle,Wolfgang,2017,AfD,
Wiener,Klaus,,CDU/CSU,Dr.
Wiese,Dirk,,SPD,
Wiesmann,Bettina Margarethe,,CDU/CSU,
Willkomm,Katharina,2017,FDP,
Willsch,Klaus-Peter,,CDU/CSU,
Winkelmeier-Becker,Elisabeth,2006,CDU/CSU,
Winkler,Tobias,,CDU/CSU,
Winklmann,Tina,2022,Die Grünen,
Wirth,Christian,,AfD,Dr.
Wissing,Volker,,FDP,Dr.
Wissler,Janine,2021,Gruppe Die Linke,
Witt,Uwe,,fraktionslos,
Wittmann,Mechthilde,,CDU/CSU,
Wollmann,Herbert,,SPD,Dr.
Wulf,Mareike Lotte,,CDU/CSU,
Wundrak,Joachim,2021,AfD,
Yüksel,Gülistan,,SPD,
Zeulner,Emmi,,CDU/CSU,
Ziegler,Kay-Uwe,2021,AfD,
Ziemiak,Paul,,CDU/CSU,
Zierke,Stefan,2013,SPD,
Zimmermann,Jens,,SPD,Dr.
Zippelius,Nicolas,2021,CDU/CSU,
Zorn,Armand,,SPD,
Zschau,Katrin,2022,SPD,
